text,stars,date
Mình mua hàng nhưng nhân viên thái độ rất trịch thượng và mình note lại phần ăn của mình nhân viên cố tình làm sai luôn. Khách quen ở đây nhưng chắc không muốn ghé lại lần nữa.   Thêm,1 sao,3 tháng trước
"Nhân viên rất nhiệt tình, kfc mãi ngonnn",5 sao,4 tuần trước
Chưong trình đổi vé đi concert hết đổi gà được rồi phải đổi nưoc và vé đi concert các bạn rất nhiệt tình hướng dẫn   Thêm,5 sao,một tháng trước
"Có nhiều chương trình khuyêan mãi tạo cho khách có nhiều cơ hội lựa chọn, cáv bạn phục vụ nhiệt tình, hướng dẫn chứ đáo   Thêm",5 sao,2 tuần trước
Ăn ngon lắm nè. Nhân viên rất nhiệt tình luôn. 10điểm không có nhưng Dịch vụ…   Thêm,5 sao,2 tháng trước
"Cái gà cay này ướp đậm vị mình rất thích , bắp cải giòn giòn ăn rất thích nv làm theo yêu cầu của tôi   Thêm",5 sao,9 tháng trước
Đồ ăn ngon nhân viên thân thiện chỗ ăn sạch sẽ tuyệt vời ông mặt trờia Đồ ăn:  5…   Thêm,5 sao,3 tuần trước
"Lần đầu tiên bước vô cửa hàng ko 1 ai chào hỏi, mặc dù mình đứng oder trước quầy k có nhân viên ra hướng dẫn hay gì cả, pack phần ăn mang về mà chẳng cho tương cho khách, đã vậy thanh cá bị gãy vụn, bị khét mà còn đem giao cho khách nữa chứ, nói chung tệ   Thêm",1 sao,4 tháng trước
"Chỗ nady rất oke , mình ăn nhìu lần ở đây ròi thaya nhân viên phục vụ khách rất chu đáo , đò ăn gà nàyyyyy kia cũng nóng giòn rất ngon miệng   Thêm",5 sao,4 tháng trước
"Yêu cầu lấy 3 đùi và được lấy đúng 3 đùi rất ứng nha, con trai tôi rất thích ăn ở đây nhân viên tư vấn nhiệt tình   Thêm",5 sao,9 tháng trước
"Sinh nhật tổ chức tầng 1 và khách gộp chung 1 tầng rất rất ồn, đồng ý là hoan hỉ với sinh nhật nhưng còn những khách khác thì sao 🥹 mng xung quanh mình cũng khá khó chịu vì quá ồn, nếu tổ chức nv rcm quán nên cho tầng riêng sẽ hợp lí hơn các b ấy cũng sẽ thoải mái hơn …   Thêm",1 sao,2 tháng trước
"cơm khô và cứng, không gian tầng 2 có chỗ cho trẻ em chơi nên rất ồn và nhân viên không nhắc nhở, tầng 3 không phục vụ, tầng 1 rất nhỏ. nếu phải chọn ăn sẽ không quay lại   Thêm",2 sao,2 tháng trước
"Quản lý đến nhân viên ai cũng dth và nhiệt tình hết á
10đ không có nhưng. Quán mình thấy rất là sạch sẽ luôn   Thêm",5 sao,2 tháng trước
"gà mọng nước hợp khẩu vị mình, không gian quán ổn, nhân viên dễ thương và đợi món cũng không quá lâu như mấy nơi khác, thấy ổn ạ   Thêm",5 sao,3 tháng trước
"Gà giòn, ngon, sạch sẽ, nhân viên thân thiện, cởi mở. Phần ăn đầy đủ, phục vụ vui vẻ, rất niềm nở, món ăn ngon nóng sốtt.😍 …   Thêm",5 sao,một năm trước
"nhân viên dễ thương, nhiệt tình. Đồ ăn cũng nhanh nữa. Mình sẽ ghé lại lần 2 🫶🏻 … Đồ ăn:  5…   Thêm",5 sao,3 tháng trước
Mua combo 5 miếng gà mà ngồi chờ 30p chưa tới lượt. Người đến sau order lại có đồ mang về trước. Thua .   Thêm,1 sao,4 tháng trước
Hôm nay thứ 7 quán đông nhưng phục vụ nhiệt tình và hướng dẫn khách kĩ có lời khen cho các bạn nhân viên. Nhiệt tình   Thêm,5 sao,9 tháng trước
"không gian quán đẹp, các bạn nhân viên phục vụ món nhanh và rất nhiệt tình, ưng cái bụng luôn, lần sau sẽ ghé lại quán.",5 sao,4 tháng trước
Là bỏ tiền ra mua rồi ăn cái bánh trứng trắng nhách vậy đó hả ? Ăn KFC xưa giờ lần đầu gặp cảnh này luôn !   Thêm,1 sao,một năm trước
"Hên quá ko phải một mình mình đánh giá 1sao.
1/ NV rất THÁI ĐỘ, kiểu chẳng cần khách, mình đi 2 lần đều thấy như vậy. Chắc có lẻ KFC thu hẹp phạm vi quán, nên khách và shipper ở đây quá đông nha nên m nghĩ …   Thêm",1 sao,một năm trước
"Có các combo trua moi và ngon sự nhiệt tình của bạn nhân viêm hướng dẫn sẽ làm tôi quay trở lại, thật sự hài long voi trải nghiêm hay   Thêm",5 sao,9 tháng trước
Đồ ăn ngon phục vụ nhiệt tình Dịch vụ Ăn tại chỗ…   Thêm,5 sao,7 tháng trước
"hôm nay ghé các bạn phục vụ nhanh, hỗ trợ hết mình, mình từng làm ngành dịch vụ nên mình hiểu Dịch vụ…   Thêm",5 sao,một tháng trước
Mình là khách hàng dễ tính và mình rất thích ăn gà rán. Nhưng mà sau khi mình nhận được phần ăn thì phải lên đánh giá 1 sao cho tiệm liền. Mình không tin được là mình vừa trả 96k cho 2 miếng gà teo tóp và 2 phần ăn kèm nhỏ. Mình không đòi …   Thêm,1 sao,một năm trước
"Gà rất ngon, ngoài giòn trong mềm mọng nước, Mua mang về gà này vị lạ mà cũng mọng nước, lần đầu mình ăn thử, ngon nha mọi người!   Thêm",5 sao,9 tháng trước
"Hôm qua mình có ghé cửa hàng này để mua gà rán về cho con mình. Nhân viên khá thân thiện, oder nhanh chóng. Đồ ăn có sẵn nên rất nhanh. Mình yêu cầu 3 đùi nhưng nhân viên vẫn đáp ứng được. Dành một lời khen đến cửa hàng này   Thêm",5 sao,5 tháng trước
Gà siêu ngon. Nhân viên nhiệt tình lắm. Mình đi buổi trưa đồ ăn có khá nhanh. Rất hài lòng. Đồ ăn: …   Thêm,5 sao,2 tháng trước
"Thật sự rất lạ khi sáng lại mở đèn và không mở máy lạnh, khá là nóng nha. Mong cửa hàng cải thiện ạ Đồ ăn: …   Thêm",1 sao,3 tháng trước
"Tôi đã trải nghiệm cùng bạn, ăn ngon hơn khi đói, không khí mát mẻ, phục vụ nhanh chóng Dịch vụ…   Thêm",5 sao,4 tháng trước
"nhân viên thân thiện dễ thương, đồ ăn ngon, đặc biệt là nhân viên tên Huy, vui vẻ đáng iu 10 đỉm Đồ ăn: …   Thêm",5 sao,4 tháng trước
"Quá dỡ cho 1 thương hiệu, không mùi vị, biết vì sao ngày càng ế Dịch vụ…   Thêm",1 sao,một năm trước
Thái độ nhân viên ko thân thiện hỏi ctkm ko thèm giải thích Dịch vụ Mua …   Thêm,1 sao,một tuần trước
"Tổ chức tiệc sinh nhật quá ồn, lại không mở thêm tầng trên. giữa trưa nắng nóng Dịch vụ…   Thêm",1 sao,8 tháng trước
"Tr ơi đồ ăn ngon cực, nv nhiệt tình thân thiện mình dắt bé con nhà mình đến ăn nhiều lần rồi hihi Đồ ăn: …   Thêm",5 sao,2 tháng trước
"Quán không cho biết được còn phần ăn mình chọn trên máy, khi thanh toán rồi thì mới thông báo và phải chuyển sang món khác   Thêm",1 sao,2 tháng trước
Gà mềm dai ngon giòn rụm. Nvien rất dễ thưn nhoa🫶🏻 … Đồ ăn:  5…   Thêm,5 sao,7 tháng trước
ngon nha Đồ ăn:  5 Dịch vụ:  5…   Thêm,5 sao,4 tuần trước
Đóng gói đủ đung yeu cau . Com trưa có nuoc ma re có 44k nuoc lon voi cái khoai môn gi đo ngon quá Dị…   Thêm,5 sao,9 tháng trước
"đồ ăn ngon, gà giòn nóng lắm nha, nói chung là quân ruột, ăn đây nhiều lần rồi Đồ ăn:  5…   Thêm",5 sao,4 tháng trước
"Nhân viên tư vấn nhiệt tình, gà ngon mong nước , bánh trứng ngon rất thích sẽ quay lại Đồ ăn:  …   Thêm",5 sao,9 tháng trước
"đồ ăn ngon,mà ồn kinh hồn,nvien còn yếu,thua Lotte nữa Đồ ăn:  4…   Thêm",1 sao,2 tháng trước
"Không gian thoáng đãng, nv nhiệt tình dễ thương. Nhiều trẻ em nên hơi ồn Đồ ăn:  5…   Thêm",5 sao,7 tháng trước
"Đồ ăn rất ngon , nhân viên nhiệt tình siêu dễ thương, thông gian quán thoáng mát Đồ ăn:  5…   Thêm",5 sao,2 tháng trước
"đồ ăn ngon, nhân viên dễ thương thân thiện, phục vụ nhiệt tình Đồ ăn:  5…   Thêm",5 sao,5 tháng trước
"Nhân viên niềm nở, món ăn ra nhanh, không gian thoải mái sạch sẽ. 10 điểm nha Đồ ăn:  5…   Thêm",5 sao,3 tháng trước
"Lâu rồi mới đi ăn kfc lại, chi nhánh này ngon nha vì mình đi chi nhánh q1 mà cũng có chỗ ko ngon đó. Ăn thử món mới với mình mà lâu với người roài là khoai môn viên kim sa. Ngon chấn độngggg 💯 …   Thêm",5 sao,một năm trước
"Mình đã từng ăn ở đây vì thích không gian và vị trí quán.
Ngồi ăn nhìn xe chạy quanh vòng xoay.
Quán đã lâu ko được đầu tư nên bàn ghế và không gian đã hơi cũ. Thiết bị vật …   Thêm",4 sao,4 năm trước
Tạm. Chiêu bài của các ông lớn. Khi mua combo. Nv điều hỏi nhanh những câu móc ngoài  để món bạn mua lại trở về như giá trị ban đầu. Xưa rồi diễm🤣 …,3 sao,5 năm trước
"Gà chiên hơi bị thấm dầu nhiều. Chắc do đông nên không kịp de cho ráo.
Có wc nhưng ở tầng trên cùng di lên bất tiện.
Còn lại các tầng có view đẹp nhìn ra bùng binh.",3 sao,Thời gian chỉnh sửa: 4 năm trước
"Tệ ! Nhân viên order món thái độ , gà không ngon Dịch vụ Ăn tại chỗ…   Thêm",1 sao,một tháng trước
"Nhân viên thái độ không tốt.
Người tới order sau thì có trước.
Gà chiên không giòn, hơn nữa mình order gà cay thì lại đem ra gà thường , khoai …   Thêm",1 sao,một năm trước
"Đồ ăn ở KFC mình thấy rất ổn. Vẫn rất vừa khẩu vị.
Nhưng,… cây kem trị giá 8.000₫ là đây sao??? Mình không nghĩ là nó nhỏ đến vậy. Trước kia mình mua ăn, nó gấp đôi mà ở đây sao nhân viên vắt ra có chút xíu. Cắn …   Thêm",3 sao,2 năm trước
"Không rõ bên đây thiếu hút mùi hay sao, mà lần nào đi ăn về, người cũng ám đầy mùi gà, hơi khó chịu :(",4 sao,2 tháng trước
Ăn ngon ơi là ngon Đồ ăn:  5 Dịch vụ: …   Thêm,5 sao,một tháng trước
"Gần nhà , thích socola đá của kfc . Nv dth Đồ ăn:  5…   Thêm",5 sao,2 tháng trước
"Đồ ăn ngon sạch sẽ, phục vụ nhiệt tình, không gian rộng rãi mát mẻ Đồ ăn:  5…   Thêm",5 sao,3 tháng trước
Tuyệt vời… đồ ăn ngon nhân viên dễ thương Đồ ăn:  5…   Thêm,5 sao,một tháng trước
Món ngon phuc vu nhanh Đồ ăn:  5 Dịch vụ: …   Thêm,5 sao,một tháng trước
Đồ ăn ngon dịch vụ tốt Đồ ăn:  5 Dịch vụ: …   Thêm,5 sao,7 tháng trước
"ổn phục vụ chu đáo, thông cảm và khen ngợi các bạn Dịch vụ Ăn tại chỗ…   Thêm",5 sao,một tháng trước
"Nhân viên nhiệt tình, dễ thương. Đồ ăn nóng, ngon Đồ ăn:  5…   Thêm",5 sao,4 tháng trước
quán đẹp,5 sao,3 tuần trước
"đồ ăn ngon chú bảo vệ tận tình còn dắt xe tận ngay mình
iu ghia Đồ ăn:  5…   Thêm",5 sao,9 tháng trước
"Mình hay ăn ở KFC này. Gà rán ở đây ngon, giòn, nhân viên dễ thương, nhanh nhẹn. Nói chung ổn áp 5 sao nhe   Thêm",5 sao,4 tháng trước
Rất ngon và nhân viên nhiệt tình Đồ ăn:  5…   Thêm,5 sao,một tháng trước
hom nay ghé lại ủng hộ các bạn nhiệt tình Đồ ăn:  5…   Thêm,5 sao,một tuần trước
"Gà tươi ngon, nhân viên chu đáo dễ thương, mình hay ghé quán ở Ngô Gia Tự. 100 đỉm choa quán😍 … Đồ ăn: …   Thêm",5 sao,4 tháng trước
Gà siêu ngon bonus nhân viên thân thiện vui vẻ nhiệt tình đáng trải nghiệm :))) Dịch vụ…   Thêm,5 sao,3 tháng trước
"Dịch vụ tốt, phục vụ nhiệt tình, món ăn ngon, không gian đẹp, phù hợp tổ chức tiệc sinh nhật, gia đình rất hài lòng.   Thêm",5 sao,5 tháng trước
"Gà giòn ngon, bánh trứng beo béo đúng gu tôi Dịch vụ Ăn tại chỗ…   Thêm",5 sao,9 tháng trước
Lần đó vô tình mua dỗ em ny cũng nghĩ nó bth như mấy chỗ khác thôi. Ai zè nó ngon vãi. May nhờ shop cứu em một mạng   Thêm,5 sao,6 tháng trước
"Con mình thích ăn ở đây, gà và khoai tây luôn giòn mới. Nhân viên cũng vui vẻ lắm. Đồ ăn:  5…   Thêm",5 sao,9 tháng trước
"Món ăn ngon, sạch sẽ .
Phục vụ nhanh .
Ủng hộ lần sau đến nữa. Dịch vụ Ă…   Thêm",5 sao,3 tháng trước
"Kentucky Fried Chicken, thường được biết đến với tên gọi tắt là KFC, là một trong những chuỗi nhà hàng thức ăn nhanh chuyên vê gà!
KFC Ngô Gia Tư năm ngay vòng xoay ngãy bảy vị trí rất thuận lợi để mọi người …   Thêm",5 sao,5 năm trước
Phục vụ tốt chu đáo,5 sao,một tháng trước
"Nhân viên ở đây khá dễ thương, nhiệt tình, mình hay thường xuyên ghé. Dịch vụ…   Thêm",5 sao,9 tháng trước
Đa dạng món ăn và combo. Nhân viên cũng vui vẻ hoạt bát Dịch vụ Ăn tại c…   Thêm,5 sao,9 tháng trước
Khét mà còn ít nữa Đồ ăn:  1,1 sao,một tháng trước
"Đồ ăn ngon ạ, nhất lượng sản phẩm cũng như dịch vụ hơn cả chi phí mình bỏ ra, luôn được nhân viên quan tâm hướng dẫn khi mình hỏi 1 vấn đề nào đó, nói chung là so good   Thêm",5 sao,một năm trước
"Cửa hàng sạch đẹp, nhân viên phục vụ tận tình",5 sao,một tháng trước
"18h 16/1/2025 bảo vệ giữ xe không đưa thẻ giữ xe cho mình, khi mình ra về thì lại đòi thẻ thái độ khó chịu, thô lỗ lớn giọng nạt nộ nói mình giữ vé không đưa trong khi lúc mình đến mình đứng đợi khá lâu không đưa vé cho mình.   Thêm",1 sao,6 tháng trước
Hôm nay ít bận rộn vắng hơn bth các bạn rất nhanh nhẹn Dịch vụ Ăn tại ch…   Thêm,5 sao,một tháng trước
"Chỗ hay ăn sinh nhật bạn từ nhỏ, nơi mình mua bữa tối mỗi dịp lễ. Đồ ăn ngon, luôn nóng giòn. Nhân viên nhiệt tình. Sẽ còn ủng hôn   Thêm",5 sao,10 tháng trước
"Tuyệt vời ạ, nv 10 điểm, đồ ăn thì ngon, lần tới sẽ ghé qua tiếp Đồ ăn:  5…   Thêm",5 sao,4 tháng trước
Mon ga o đây rất ngon nhân viên phục vụ rất tốt sẽ ủng hộ lâu dài Đồ ăn:  5…   Thêm,5 sao,9 tháng trước
đồ ăn ngon và nhân viên thân thiện ạ Đồ ăn:  5…   Thêm,5 sao,4 tháng trước
"chất lượng phục vụ rất tốt, món ăn rất ngon, có bạn nhân viên rất dễ thương Đồ ăn:  5…   Thêm",5 sao,3 tháng trước
"Nhân viên nhiệt tình, thân thiện. món ăn rẻ, ngon, KFC là nơi đi đâu mình cũng ghé. một trải nghiệm tại kfc Ngô Gia Tự.   Thêm",5 sao,Thời gian chỉnh sửa: 3 năm trước
Rất tốt Đồ ăn:  5 Dịch vụ:  5…   Thêm,5 sao,4 tuần trước
"Nhân viên hoà đồng, thân thiện, chỗ ngồi rộng rãi Giá mỗi người 1-100.00…   Thêm",5 sao,một tháng trước
Nhân viên nhiệt tình 🙂. Đồ ăn ngon. … Dịch vụ Ăn tại chỗ…   Thêm,5 sao,3 năm trước
"Nhân viên chu đáo lịch sự,gà ngon! Kem ngon! Đồ ăn:  5…   Thêm",5 sao,một tháng trước
Tuyệt vời Dịch vụ Ăn tại chỗ…   Thêm,5 sao,một tháng trước
"Thái độ nhận viên quá tệ (bạn nam cửa hàng trưởng) , dịch vụ kém . Không bao giờ quay lại cái chi nhánh này .   Thêm",1 sao,một năm trước
"Đồ ăn ngon, nhân viên nhiệt tình. Dịch vụ Ăn tại chỗ…   Thêm",5 sao,5 tháng trước
Bắt khách hàng tự phục vụ. Ko đem lại đồ ăn cho khách. Đồ ăn:  5…   Thêm,1 sao,một năm trước
"Mình tới ăn ở đây lúc chiều, mặc dù lượng khách không đông và còn dư khá nhiều đồ ăn trên máy. Cứ tưởng đồ ăn sẽ bị khô, nhưng không miếng gà trong cái burger zinger mình order vẫn juicy, vị vẫn ngon. …   Thêm",4 sao,3 năm trước
Đồ ăn hợp khẩu vị. Không gian thoáng. Good 👍🏻 … Dịch vụ Ăn tại chỗ…   Thêm,5 sao,7 tháng trước
Tuyệt vời là một fan của gà rán tôi rất hài lòng với KFC ở chi nhánh này Đồ ăn:  5…   Thêm,5 sao,2 tháng trước
"Đồ ăn ngon, không gian rộng rãi các bé thích hay tới đây ăn Đồ ăn:  5…   Thêm",5 sao,9 tháng trước
Giao thiếu mì ý mà cũng đưa cho shipper giao đánh giá 1 sao nhưng không thấy liên hệ lại Đồ ăn: …   Thêm,1 sao,một năm trước
"Hôm nay ghé các bạn phục vụ nhanh hơn, có cải thịên sẽ quay lại Đồ ăn:  5…   Thêm",5 sao,3 tháng trước
Hôm nay ghé nhân ngày mưa mát mẻ ngôi cũng chill Dịch vụ Ăn tại chỗ…   Thêm,5 sao,2 tháng trước
"Nay mua combo 88k 4 miếng gà truyền thống mang về ở chi nhánh này, miếng gà như này mà nv vẫn bán đc",1 sao,một năm trước
"Nhân viên thân thiện , combo giá hợp lí Dịch vụ Mua mang đi…   Thêm",5 sao,7 tháng trước
"Miếng gà giòn rụm bên ngoài, mềm mọng bên trong, gia vị thấm đậm và không quá dầu mỡ. Không gian quán sạch sẽ, thoáng mát, nhân viên phục vụ nhiệt tình, thân thiện và luôn sẵn sàng hỗ trợ khách hàng.   Thêm",5 sao,7 tháng trước
"ngày t7 khá đông , có sinh nhật , nhộn nhịp các bạn khá nhiệt tình Dịch vụ…   Thêm",5 sao,2 tháng trước
"tuỵt đỉnh, nhân viên dễ thương Đồ ăn:  5…   Thêm",5 sao,một tuần trước
"Quán ngon, phục vụ vui vẻ thân thiện Đồ ăn:  5…   Thêm",5 sao,một tháng trước
"Nhân viên nhiệt tình, phục vụ tốt Đồ ăn:  5…   Thêm",5 sao,một tháng trước
"món ngon , nhân viên nhiệt tình , vui vẻ Dịch vụ Ăn tại chỗ…   Thêm",5 sao,một tháng trước
"Gà và Bánh tart ngon, nhân viên phục vụ nhanh và chuyên nghiệp. Dịch vụ…   Thêm",5 sao,4 tháng trước
"Đồ ăn ngon, nhân viên nhiệt tình, sẽ quay lại nhìu lần Đồ ăn:  5…   Thêm",5 sao,7 tháng trước
"Đồ ăn ngon và nóng, nhân viên rất tận tình giúp đỡ. Dịch vụ Mua mang đi…   Thêm",5 sao,7 tháng trước
Minh thay moi nguoi nen thuong cua hang su co gang nen dc ghi nhan Dịch vụ…   Thêm,5 sao,2 tháng trước
